DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
09-05-2014,1287.8,,,,,
12-05-2014,1295.9,,,,,
13-05-2014,1295,,,,,
14-05-2014,1306.1,,,,,
15-05-2014,1293.8,,,,,
16-05-2014,1293.5,,,,,
19-05-2014,1293.9,,,,,
20-05-2014,1294.7,,,,,
21-05-2014,1288.2,,,,,
22-05-2014,1295.1,,,,,
23-05-2014,1291.8,,,,,
26-05-2014,1265.5,,,,,
27-05-2014,1265.6,,,,,
28-05-2014,1259.6,,,,,
29-05-2014,1257.1,,,,,
30-05-2014,1246,,,,,
02-06-2014,1244,,,,,
03-06-2014,1244.5,,,,,
04-06-2014,1244.3,,,,,
05-06-2014,1253.3,,,,,
06-06-2014,1252.5,,,,,
09-06-2014,1253.9,,,,,
10-06-2014,1260.1,,,,,
11-06-2014,1261.2,,,,,
12-06-2014,1274,,,,,
13-06-2014,1274.1,,,,,
16-06-2014,1275.3,,,,,
17-06-2014,1272,,,,,
18-06-2014,1272.7,,,,,
19-06-2014,1314.1,,,,,
20-06-2014,1316.6,,,,,
23-06-2014,1318.4,,,,,
24-06-2014,1321.3,,,,,
25-06-2014,1322.6,,,,,
26-06-2014,1317,,,,,
27-06-2014,1320.1,,,,,
30-06-2014,1322.1,,,,,
01-07-2014,1326.7,,,,,
02-07-2014,1331.3,,,,,
03-07-2014,1321.1,,,,,
04-07-2014,1317,,,,,
07-07-2014,1317.6,,,,,
08-07-2014,1317.1,,,,,
09-07-2014,1325,,,,,
10-07-2014,1339.8,,,,,
11-07-2014,1338,,,,,
14-07-2014,1307.3,,,,,
15-07-2014,1297.7,,,,,
16-07-2014,1300.4,,,,,
17-07-2014,1317.5,,,,,
18-07-2014,1310,,,,,
21-07-2014,1314.5,,,,,
22-07-2014,1306.9,,,,,
23-07-2014,1305.3,,,,,
24-07-2014,1291.4,,,,,
25-07-2014,1304,,,,,
28-07-2014,1304.1,,,,,
29-07-2014,1299,,,,,
30-07-2014,1295.9,,,,,
31-07-2014,1281.9,,,,,
01-08-2014,1294.1,,,,,
04-08-2014,1288.3,,,,,
05-08-2014,1284.6,,,,,
06-08-2014,1307.4,,,,,
07-08-2014,1311.6,,,,,
08-08-2014,1310.1,,,,,
11-08-2014,1309.7,,,,,
12-08-2014,1309.8,,,,,
13-08-2014,1313.7,,,,,
14-08-2014,1314.9,,,,,
15-08-2014,1305.4,,,,,
18-08-2014,1298.5,,,,,
19-08-2014,1295.9,,,,,
20-08-2014,1294.3,,,,,
21-08-2014,1274.5,,,,,
22-08-2014,1279.3,,,,,
25-08-2014,1278,,,,,
26-08-2014,1284.3,,,,,
27-08-2014,1282.5,,,,,
28-08-2014,1289.9,,,,,
29-08-2014,1287.2,,,,,
01-09-2014,1265,,,,,
02-09-2014,1264.9,,,,,
03-09-2014,1270,,,,,
04-09-2014,1266.2,,,,,
05-09-2014,1266.9,,,,,
08-09-2014,1253.9,,,,,
09-09-2014,1248,,,,,
10-09-2014,1244.8,,,,,
11-09-2014,1238.3,,,,,
12-09-2014,1230.9,,,,,
15-09-2014,1234.5,,,,,
16-09-2014,1236.2,,,,,
17-09-2014,1235.4,,,,,
18-09-2014,1226.4,,,,,
19-09-2014,1216,,,,,
22-09-2014,1217.3,,,,,
23-09-2014,1221.5,,,,,
24-09-2014,1219,,,,,
25-09-2014,1221.5,,,,,
26-09-2014,1214.8,,,,,
29-09-2014,1218.8,,,,,
30-09-2014,1211.6,,,,,
01-10-2014,1215.5,,,,,
02-10-2014,1215.1,,,,,
03-10-2014,1192.9,,,,,
06-10-2014,1207.3,,,,,
07-10-2014,1212.4,,,,,
08-10-2014,1206,,,,,
09-10-2014,1225.3,,,,,
10-10-2014,1221.7,,,,,
13-10-2014,1230,,,,,
14-10-2014,1234.3,,,,,
15-10-2014,1244.8,,,,,
16-10-2014,1241.2,,,,,
17-10-2014,1239,,,,,
20-10-2014,1244.7,,,,,
21-10-2014,1251.7,,,,,
22-10-2014,1245.5,,,,,
23-10-2014,1229.1,,,,,
24-10-2014,1231.8,,,,,
27-10-2014,1229.3,,,,,
28-10-2014,1229.4,,,,,
29-10-2014,1224.9,,,,,
30-10-2014,1199,,,,,
31-10-2014,1172,,,,,
03-11-2014,1170.2,,,,,
04-11-2014,1168.1,,,,,
05-11-2014,1146.1,,,,,
06-11-2014,1142.9,,,,,
07-11-2014,1170.2,,,,,
10-11-2014,1160.2,,,,,
11-11-2014,1163.5,,,,,
12-11-2014,1159.5,,,,,
13-11-2014,1161.9,,,,,
14-11-2014,1185.9,,,,,
17-11-2014,1183.8,,,,,
18-11-2014,1197.4,,,,,
19-11-2014,1194.2,,,,,
20-11-2014,1191.1,,,,,
21-11-2014,1198,,,,,
24-11-2014,1196.2,,,,,
25-11-2014,1197.5,,,,,
26-11-2014,1197.5,,,,,
27-11-2014,1175.5,,,,,
